m,n,k,b,p,q,algo,lookahead,gflops
1024,1024,1024,256,1,2,p2p,0,380.161131
1024,1024,1024,256,1,2,p2p,0,380.161131
1024,1024,1024,256,1,2,bcast,0,373.493988
1024,1024,1024,256,1,2,bcast,0,373.493988
1024,1024,1024,256,1,2,p2p-i-la,1,534.362970
1024,1024,1024,256,1,2,p2p-i-la,1,534.362970
1024,1024,1024,256,1,2,p2p-i-la,2,534.362970
1024,1024,1024,256,1,2,p2p-i-la,2,534.362970
1024,1024,1024,256,1,2,p2p-i-la,3,550.307032
1024,1024,1024,256,1,2,p2p-i-la,3,550.307032
1024,1024,1024,256,1,2,p2p-i-la,4,550.307032
1024,1024,1024,256,1,2,p2p-i-la,4,550.307032
1536,1536,1536,256,1,2,p2p,0,572.512873
1536,1536,1536,256,1,2,p2p,0,572.512873
1536,1536,1536,256,1,2,bcast,0,567.988675
1536,1536,1536,256,1,2,bcast,0,567.988675
1536,1536,1536,256,1,2,p2p-i-la,1,822.005393
1536,1536,1536,256,1,2,p2p-i-la,1,822.005393
1536,1536,1536,256,1,2,p2p-i-la,2,833.005720
1536,1536,1536,256,1,2,p2p-i-la,2,833.005720
1536,1536,1536,256,1,2,p2p-i-la,3,833.005720
1536,1536,1536,256,1,2,p2p-i-la,3,833.005720
1536,1536,1536,256,1,2,p2p-i-la,4,833.005720
1536,1536,1536,256,1,2,p2p-i-la,4,833.005720
1536,1536,1536,256,1,2,p2p-i-la,5,844.304459
1536,1536,1536,256,1,2,p2p-i-la,5,844.304459
1536,1536,1536,256,1,2,p2p-i-la,6,844.304459
1536,1536,1536,256,1,2,p2p-i-la,6,844.304459
2048,2048,2048,256,1,2,p2p,0,764.416099
2048,2048,2048,256,1,2,p2p,0,764.416099
2048,2048,2048,256,1,2,bcast,0,761.001656
2048,2048,2048,256,1,2,bcast,0,761.001656
2048,2048,2048,256,1,2,p2p-i-la,1,1109.213101
2048,2048,2048,256,1,2,p2p-i-la,1,1109.213101
2048,2048,2048,256,1,2,p2p-i-la,2,1117.614931
2048,2048,2048,256,1,2,p2p-i-la,2,1117.614931
2048,2048,2048,256,1,2,p2p-i-la,3,1126.145014
2048,2048,2048,256,1,2,p2p-i-la,3,1126.145014
2048,2048,2048,256,1,2,p2p-i-la,4,1126.145014
2048,2048,2048,256,1,2,p2p-i-la,4,1126.145014
2048,2048,2048,256,1,2,p2p-i-la,5,1126.145014
2048,2048,2048,256,1,2,p2p-i-la,5,1126.145014
2048,2048,2048,256,1,2,p2p-i-la,6,1126.145014
2048,2048,2048,256,1,2,p2p-i-la,6,1126.145014
2048,2048,2048,256,1,2,p2p-i-la,7,1134.806308
2048,2048,2048,256,1,2,p2p-i-la,7,1134.806308
2048,2048,2048,256,1,2,p2p-i-la,8,1134.806308
2048,2048,2048,256,1,2,p2p-i-la,8,1134.806308
3072,3072,3072,256,1,2,p2p,0,1147.768534
3072,3072,3072,256,1,2,p2p,0,1147.768534
3072,3072,3072,256,1,2,bcast,0,1145.482065
3072,3072,3072,256,1,2,bcast,0,1145.482065
3072,3072,3072,256,1,2,p2p-i-la,1,1683.125662
3072,3072,3072,256,1,2,p2p-i-la,1,1683.125662
3072,3072,3072,256,1,2,p2p-i-la,2,1694.580839
3072,3072,3072,256,1,2,p2p-i-la,2,1694.580839
3072,3072,3072,256,1,2,p2p-i-la,3,1700.367191
3072,3072,3072,256,1,2,p2p-i-la,3,1700.367191
3072,3072,3072,256,1,2,p2p-i-la,4,1700.367191
3072,3072,3072,256,1,2,p2p-i-la,4,1700.367191
3072,3072,3072,256,1,2,p2p-i-la,5,1706.193009
3072,3072,3072,256,1,2,p2p-i-la,5,1706.193009
3072,3072,3072,256,1,2,p2p-i-la,6,1706.193009
3072,3072,3072,256,1,2,p2p-i-la,6,1706.193009
3072,3072,3072,256,1,2,p2p-i-la,7,1706.193009
3072,3072,3072,256,1,2,p2p-i-la,7,1706.193009
3072,3072,3072,256,1,2,p2p-i-la,8,1706.193009
3072,3072,3072,256,1,2,p2p-i-la,8,1706.193009
3072,3072,3072,256,1,2,p2p-i-la,9,1706.193009
3072,3072,3072,256,1,2,p2p-i-la,9,1706.193009
3072,3072,3072,256,1,2,p2p-i-la,10,1706.193009
3072,3072,3072,256,1,2,p2p-i-la,10,1706.193009
3072,3072,3072,256,1,2,p2p-i-la,11,1712.059073
3072,3072,3072,256,1,2,p2p-i-la,11,1712.059073
3072,3072,3072,256,1,2,p2p-i-la,12,1712.059073
3072,3072,3072,256,1,2,p2p-i-la,12,1712.059073
1024,1024,1024,256,1,4,p2p,0,105.988257
1024,1024,1024,256,1,4,p2p,0,105.988257
1024,1024,1024,256,1,4,bcast,0,132.754475
1024,1024,1024,256,1,4,bcast,0,132.754475
1024,1024,1024,256,1,4,p2p-i-la,1,262.869214
1024,1024,1024,256,1,4,p2p-i-la,1,262.869214
1024,1024,1024,256,1,4,p2p-i-la,2,250.163334
1024,1024,1024,256,1,4,p2p-i-la,2,250.163334
1024,1024,1024,256,1,4,p2p-i-la,3,280.055469
1024,1024,1024,256,1,4,p2p-i-la,3,280.055469
1024,1024,1024,256,1,4,p2p-i-la,4,280.055469
1024,1024,1024,256,1,4,p2p-i-la,4,280.055469
1536,1536,1536,256,1,4,p2p,0,163.959898
1536,1536,1536,256,1,4,p2p,0,163.959898
1536,1536,1536,256,1,4,bcast,0,201.080693
1536,1536,1536,256,1,4,bcast,0,201.080693
1536,1536,1536,256,1,4,p2p-i-la,1,404.263155
1536,1536,1536,256,1,4,p2p-i-la,1,404.263155
1536,1536,1536,256,1,4,p2p-i-la,2,418.774614
1536,1536,1536,256,1,4,p2p-i-la,2,418.774614
1536,1536,1536,256,1,4,p2p-i-la,3,423.966341
1536,1536,1536,256,1,4,p2p-i-la,3,423.966341
1536,1536,1536,256,1,4,p2p-i-la,4,407.779137
1536,1536,1536,256,1,4,p2p-i-la,4,407.779137
1536,1536,1536,256,1,4,p2p-i-la,5,425.538229
1536,1536,1536,256,1,4,p2p-i-la,5,425.538229
1536,1536,1536,256,1,4,p2p-i-la,6,425.538229
1536,1536,1536,256,1,4,p2p-i-la,6,425.538229
2048,2048,2048,256,1,4,p2p,0,211.532014
2048,2048,2048,256,1,4,p2p,0,211.532014
2048,2048,2048,256,1,4,bcast,0,269.029160
2048,2048,2048,256,1,4,bcast,0,269.029160
2048,2048,2048,256,1,4,p2p-i-la,1,545.658597
2048,2048,2048,256,1,4,p2p-i-la,1,545.658597
2048,2048,2048,256,1,4,p2p-i-la,2,519.180011
2048,2048,2048,256,1,4,p2p-i-la,2,519.180011
2048,2048,2048,256,1,4,p2p-i-la,3,559.874233
