m,n,k,b,p,q,algo,lookahead,gflops
256,256,256,256,1,1,p2p,0,3355443.220393
256,256,256,256,1,1,bcast,0,3355443.220393
256,256,256,256,1,1,p2p-i-la,1,3355443.220393
512,512,512,256,1,1,p2p,0,26843545.763141
512,512,512,256,1,1,bcast,0,26843545.763141
512,512,512,256,1,1,p2p-i-la,1,26843545.763141
512,512,512,256,1,1,p2p-i-la,2,26843545.763141
1024,1024,1024,256,1,1,p2p,0,214748366.105127
1024,1024,1024,256,1,1,bcast,0,214748366.105127
1024,1024,1024,256,1,1,p2p-i-la,1,214748366.105127
1024,1024,1024,256,1,1,p2p-i-la,2,214748366.105127
1024,1024,1024,256,1,1,p2p-i-la,3,214748366.105127
1024,1024,1024,256,1,1,p2p-i-la,4,214748366.105127
1536,1536,1536,256,1,1,p2p,0,724775735.604803
1536,1536,1536,256,1,1,bcast,0,724775735.604803
1536,1536,1536,256,1,1,p2p-i-la,1,724775735.604803
1536,1536,1536,256,1,1,p2p-i-la,2,724775735.604803
1536,1536,1536,256,1,1,p2p-i-la,3,724775735.604803
1536,1536,1536,256,1,1,p2p-i-la,4,724775735.604803
1536,1536,1536,256,1,1,p2p-i-la,5,724775735.604803
1536,1536,1536,256,1,1,p2p-i-la,6,724775735.604803
2048,2048,2048,256,1,1,p2p,0,1717986928.841016
2048,2048,2048,256,1,1,bcast,0,1717986928.841016
2048,2048,2048,256,1,1,p2p-i-la,1,1717986928.841016
2048,2048,2048,256,1,1,p2p-i-la,2,1717986928.841016
2048,2048,2048,256,1,1,p2p-i-la,3,1717986928.841016
2048,2048,2048,256,1,1,p2p-i-la,4,1717986928.841016
2048,2048,2048,256,1,1,p2p-i-la,5,1717986928.841016
2048,2048,2048,256,1,1,p2p-i-la,6,1717986928.841016
2048,2048,2048,256,1,1,p2p-i-la,7,1717986928.841016
2048,2048,2048,256,1,1,p2p-i-la,8,1717986928.841016
3072,3072,3072,256,1,1,p2p,0,5798205884.838428
3072,3072,3072,256,1,1,bcast,0,5798205884.838428
3072,3072,3072,256,1,1,p2p-i-la,1,5798205884.838428
3072,3072,3072,256,1,1,p2p-i-la,2,5798205884.838428
3072,3072,3072,256,1,1,p2p-i-la,3,5798205884.838428
3072,3072,3072,256,1,1,p2p-i-la,4,5798205884.838428
3072,3072,3072,256,1,1,p2p-i-la,5,5798205884.838428
3072,3072,3072,256,1,1,p2p-i-la,6,5798205884.838428
3072,3072,3072,256,1,1,p2p-i-la,7,5798205884.838428
3072,3072,3072,256,1,1,p2p-i-la,8,5798205884.838428
3072,3072,3072,256,1,1,p2p-i-la,9,5798205884.838428
3072,3072,3072,256,1,1,p2p-i-la,10,5798205884.838428
3072,3072,3072,256,1,1,p2p-i-la,11,5798205884.838428
3072,3072,3072,256,1,1,p2p-i-la,12,5798205884.838428
256,256,256,256,1,2,p2p,0,85.845439
256,256,256,256,1,2,bcast,0,68.240671
256,256,256,256,1,2,p2p-i-la,1,85.845439
512,512,512,256,1,2,p2p,0,186.094082
512,512,512,256,1,2,bcast,0,173.935047
512,512,512,256,1,2,p2p-i-la,1,245.558325
512,512,512,256,1,2,p2p-i-la,2,245.558325
1024,1024,1024,256,1,2,p2p,0,380.161131
1024,1024,1024,256,1,2,bcast,0,373.493988
1024,1024,1024,256,1,2,p2p-i-la,1,534.362970
