m,n,k,b,p,q,algo,lookahead,gflops
256,256,256,256,1,1,p2p,0,0.339091
256,256,256,256,1,1,bcast,0,0.634130
256,256,256,256,1,1,p2p-i-la,1,0.458733
512,512,512,256,1,1,p2p,0,3.326559
512,512,512,256,1,1,bcast,0,4.908424
512,512,512,256,1,1,p2p-i-la,1,3.815717
512,512,512,256,1,1,p2p-i-la,2,2.471782
1024,1024,1024,256,1,1,p2p,0,11.828428
1024,1024,1024,256,1,1,bcast,0,16.006199
1024,1024,1024,256,1,1,p2p-i-la,1,14.179809
1024,1024,1024,256,1,1,p2p-i-la,2,13.363677
1024,1024,1024,256,1,1,p2p-i-la,3,11.145870
1024,1024,1024,256,1,1,p2p-i-la,4,10.361164
1536,1536,1536,256,1,1,p2p,0,22.606620
1536,1536,1536,256,1,1,bcast,0,21.511507
1536,1536,1536,256,1,1,p2p-i-la,1,23.131132
1536,1536,1536,256,1,1,p2p-i-la,2,22.006283
1536,1536,1536,256,1,1,p2p-i-la,3,22.295863
1536,1536,1536,256,1,1,p2p-i-la,4,19.313391
1536,1536,1536,256,1,1,p2p-i-la,5,20.487225
1536,1536,1536,256,1,1,p2p-i-la,6,23.857944
2048,2048,2048,256,1,1,p2p,0,24.197079
2048,2048,2048,256,1,1,bcast,0,23.613649
2048,2048,2048,256,1,1,p2p-i-la,1,24.213493
2048,2048,2048,256,1,1,p2p-i-la,2,22.489870
2048,2048,2048,256,1,1,p2p-i-la,3,23.386399
2048,2048,2048,256,1,1,p2p-i-la,4,24.727272
2048,2048,2048,256,1,1,p2p-i-la,5,22.866694
2048,2048,2048,256,1,1,p2p-i-la,6,23.864864
2048,2048,2048,256,1,1,p2p-i-la,7,22.191130
2048,2048,2048,256,1,1,p2p-i-la,8,24.947138
3072,3072,3072,256,1,1,p2p,0,25.035204
3072,3072,3072,256,1,1,bcast,0,25.110727
3072,3072,3072,256,1,1,p2p-i-la,1,24.485025
3072,3072,3072,256,1,1,p2p-i-la,2,25.551936
3072,3072,3072,256,1,1,p2p-i-la,3,25.714074
3072,3072,3072,256,1,1,p2p-i-la,4,23.985796
3072,3072,3072,256,1,1,p2p-i-la,5,23.705885
3072,3072,3072,256,1,1,p2p-i-la,6,24.093129
3072,3072,3072,256,1,1,p2p-i-la,7,24.117471
3072,3072,3072,256,1,1,p2p-i-la,8,23.479469
3072,3072,3072,256,1,1,p2p-i-la,9,23.420507
3072,3072,3072,256,1,1,p2p-i-la,10,24.040981
3072,3072,3072,256,1,1,p2p-i-la,11,23.719989
3072,3072,3072,256,1,1,p2p-i-la,12,24.091990
256,256,256,256,1,2,p2p,0,0.537675
256,256,256,256,1,2,bcast,0,0.326837
256,256,256,256,1,2,p2p-i-la,1,0.460805
512,512,512,256,1,2,p2p,0,2.076982
512,512,512,256,1,2,bcast,0,1.671557
512,512,512,256,1,2,p2p-i-la,1,4.407771
512,512,512,256,1,2,p2p-i-la,2,4.357252
1024,1024,1024,256,1,2,p2p,0,5.562819
1024,1024,1024,256,1,2,bcast,0,4.823883
1024,1024,1024,256,1,2,p2p-i-la,1,9.870337
1024,1024,1024,256,1,2,p2p-i-la,2,8.551111
1024,1024,1024,256,1,2,p2p-i-la,3,9.914896
1024,1024,1024,256,1,2,p2p-i-la,4,10.974160
1536,1536,1536,256,1,2,p2p,0,8.585846
1536,1536,1536,256,1,2,bcast,0,8.589973
1536,1536,1536,256,1,2,p2p-i-la,1,16.655443
1536,1536,1536,256,1,2,p2p-i-la,2,14.822340
1536,1536,1536,256,1,2,p2p-i-la,3,17.435871
1536,1536,1536,256,1,2,p2p-i-la,4,14.849000
1536,1536,1536,256,1,2,p2p-i-la,5,15.059594
1536,1536,1536,256,1,2,p2p-i-la,6,14.761264
2048,2048,2048,256,1,2,p2p,0,11.141452
2048,2048,2048,256,1,2,bcast,0,11.232721
2048,2048,2048,256,1,2,p2p-i-la,1,21.044067
2048,2048,2048,256,1,2,p2p-i-la,2,20.866725
2048,2048,2048,256,1,2,p2p-i-la,3,22.406306
2048,2048,2048,256,1,2,p2p-i-la,4,19.626488
2048,2048,2048,256,1,2,p2p-i-la,5,21.932660
2048,2048,2048,256,1,2,p2p-i-la,6,17.811372
2048,2048,2048,256,1,2,p2p-i-la,7,18.424182
2048,2048,2048,256,1,2,p2p-i-la,8,17.963539
3072,3072,3072,256,1,2,p2p,0,15.189051
3072,3072,3072,256,1,2,bcast,0,15.122514
3072,3072,3072,256,1,2,p2p-i-la,1,27.645684
3072,3072,3072,256,1,2,p2p-i-la,2,32.694149
3072,3072,3072,256,1,2,p2p-i-la,3,31.777639
3072,3072,3072,256,1,2,p2p-i-la,4,30.579739
3072,3072,3072,256,1,2,p2p-i-la,5,31.061656
3072,3072,3072,256,1,2,p2p-i-la,6,27.494136
3072,3072,3072,256,1,2,p2p-i-la,7,27.600064
3072,3072,3072,256,1,2,p2p-i-la,8,25.117416
3072,3072,3072,256,1,2,p2p-i-la,9,25.134629
3072,3072,3072,256,1,2,p2p-i-la,10,22.722397
3072,3072,3072,256,1,2,p2p-i-la,11,22.755102
3072,3072,3072,256,1,2,p2p-i-la,12,22.902210
256,256,256,256,1,4,p2p,0,0.287828
256,256,256,256,1,4,bcast,0,0.221711
256,256,256,256,1,4,p2p-i-la,1,0.343678
512,512,512,256,1,4,p2p,0,0.876191
512,512,512,256,1,4,bcast,0,1.225434
512,512,512,256,1,4,p2p-i-la,1,2.188264
512,512,512,256,1,4,p2p-i-la,2,2.236085
1024,1024,1024,256,1,4,p2p,0,2.406957
1024,1024,1024,256,1,4,bcast,0,3.174469
1024,1024,1024,256,1,4,p2p-i-la,1,4.729767
1024,1024,1024,256,1,4,p2p-i-la,2,4.714360
1024,1024,1024,256,1,4,p2p-i-la,3,8.592620
1024,1024,1024,256,1,4,p2p-i-la,4,8.523358
1536,1536,1536,256,1,4,p2p,0,3.598457
1536,1536,1536,256,1,4,bcast,0,4.959541
1536,1536,1536,256,1,4,p2p-i-la,1,6.869419
1536,1536,1536,256,1,4,p2p-i-la,2,9.826159
1536,1536,1536,256,1,4,p2p-i-la,3,9.817025
1536,1536,1536,256,1,4,p2p-i-la,4,6.991941
1536,1536,1536,256,1,4,p2p-i-la,5,9.519703
1536,1536,1536,256,1,4,p2p-i-la,6,9.492213
2048,2048,2048,256,1,4,p2p,0,4.786507
2048,2048,2048,256,1,4,bcast,0,6.734075
2048,2048,2048,256,1,4,p2p-i-la,1,9.244872
2048,2048,2048,256,1,4,p2p-i-la,2,12.117967
2048,2048,2048,256,1,4,p2p-i-la,3,16.659693
2048,2048,2048,256,1,4,p2p-i-la,4,12.072571
2048,2048,2048,256,1,4,p2p-i-la,5,12.372088
2048,2048,2048,256,1,4,p2p-i-la,6,12.608202
2048,2048,2048,256,1,4,p2p-i-la,7,15.675614
2048,2048,2048,256,1,4,p2p-i-la,8,15.802295
3072,3072,3072,256,1,4,p2p,0,6.979682
3072,3072,3072,256,1,4,bcast,0,9.895521
3072,3072,3072,256,1,4,p2p-i-la,1,13.608660
3072,3072,3072,256,1,4,p2p-i-la,2,19.483060
3072,3072,3072,256,1,4,p2p-i-la,3,24.760565
3072,3072,3072,256,1,4,p2p-i-la,4,17.641656
3072,3072,3072,256,1,4,p2p-i-la,5,20.271697
3072,3072,3072,256,1,4,p2p-i-la,6,21.072261
3072,3072,3072,256,1,4,p2p-i-la,7,25.509481
3072,3072,3072,256,1,4,p2p-i-la,8,20.326998
3072,3072,3072,256,1,4,p2p-i-la,9,20.693424
3072,3072,3072,256,1,4,p2p-i-la,10,20.925842
3072,3072,3072,256,1,4,p2p-i-la,11,21.928331
3072,3072,3072,256,1,4,p2p-i-la,12,21.639774
256,256,256,256,1,5,p2p,0,0.193278
256,256,256,256,1,5,bcast,0,0.247199
256,256,256,256,1,5,p2p-i-la,1,0.466330
512,512,512,256,1,5,p2p,0,0.892275
512,512,512,256,1,5,bcast,0,0.908187
512,512,512,256,1,5,p2p-i-la,1,1.697807
512,512,512,256,1,5,p2p-i-la,2,1.538211
1024,1024,1024,256,1,5,p2p,0,1.870180
1024,1024,1024,256,1,5,bcast,0,2.193879
1024,1024,1024,256,1,5,p2p-i-la,1,3.577170
1024,1024,1024,256,1,5,p2p-i-la,2,3.641898
1024,1024,1024,256,1,5,p2p-i-la,3,6.509497
1024,1024,1024,256,1,5,p2p-i-la,4,6.711282
1536,1536,1536,256,1,5,p2p,0,2.778537
1536,1536,1536,256,1,5,bcast,0,3.582051
1536,1536,1536,256,1,5,p2p-i-la,1,5.331562
1536,1536,1536,256,1,5,p2p-i-la,2,7.625437
1536,1536,1536,256,1,5,p2p-i-la,3,7.821240
1536,1536,1536,256,1,5,p2p-i-la,4,8.088328
1536,1536,1536,256,1,5,p2p-i-la,5,7.564404
1536,1536,1536,256,1,5,p2p-i-la,6,7.434491
2048,2048,2048,256,1,5,p2p,0,3.686007
2048,2048,2048,256,1,5,bcast,0,4.738853
2048,2048,2048,256,1,5,p2p-i-la,1,7.073996
2048,2048,2048,256,1,5,p2p-i-la,2,9.382690
2048,2048,2048,256,1,5,p2p-i-la,3,13.056211
2048,2048,2048,256,1,5,p2p-i-la,4,13.206968
2048,2048,2048,256,1,5,p2p-i-la,5,9.487406
2048,2048,2048,256,1,5,p2p-i-la,6,9.580793
2048,2048,2048,256,1,5,p2p-i-la,7,12.515380
2048,2048,2048,256,1,5,p2p-i-la,8,12.619220
3072,3072,3072,256,1,5,p2p,0,5.377968
3072,3072,3072,256,1,5,bcast,0,6.951407
3072,3072,3072,256,1,5,p2p-i-la,1,10.550555
3072,3072,3072,256,1,5,p2p-i-la,2,15.208998
3072,3072,3072,256,1,5,p2p-i-la,3,19.425103
3072,3072,3072,256,1,5,p2p-i-la,4,20.072590
3072,3072,3072,256,1,5,p2p-i-la,5,16.090247
3072,3072,3072,256,1,5,p2p-i-la,6,19.575769
3072,3072,3072,256,1,5,p2p-i-la,7,19.773423
3072,3072,3072,256,1,5,p2p-i-la,8,20.201782
3072,3072,3072,256,1,5,p2p-i-la,9,20.634626
3072,3072,3072,256,1,5,p2p-i-la,10,16.156465
3072,3072,3072,256,1,5,p2p-i-la,11,17.676641
3072,3072,3072,256,1,5,p2p-i-la,12,17.795182
256,256,256,256,1,6,p2p,0,0.164752
256,256,256,256,1,6,bcast,0,0.278082
256,256,256,256,1,6,p2p-i-la,1,0.373993
512,512,512,256,1,6,p2p,0,0.702355
512,512,512,256,1,6,bcast,0,0.862892
512,512,512,256,1,6,p2p-i-la,1,1.269644
512,512,512,256,1,6,p2p-i-la,2,1.360018
1024,1024,1024,256,1,6,p2p,0,1.515577
1024,1024,1024,256,1,6,bcast,0,2.326592
1024,1024,1024,256,1,6,p2p-i-la,1,2.907387
1024,1024,1024,256,1,6,p2p-i-la,2,2.921400
1024,1024,1024,256,1,6,p2p-i-la,3,5.404875
1024,1024,1024,256,1,6,p2p-i-la,4,5.296593
1536,1536,1536,256,1,6,p2p,0,2.255273
1536,1536,1536,256,1,6,bcast,0,3.586953
1536,1536,1536,256,1,6,p2p-i-la,1,4.373079
1536,1536,1536,256,1,6,p2p-i-la,2,6.394066
1536,1536,1536,256,1,6,p2p-i-la,3,6.467567
1536,1536,1536,256,1,6,p2p-i-la,4,6.518566
1536,1536,1536,256,1,6,p2p-i-la,5,11.597029
